CustomerID,Cluster
C0001,4
C0002,8
C0003,4
C0004,3
C0005,8
C0006,4
C0007,8
C0008,3
C0009,7
C0010,0
C0011,4
C0012,3
C0013,3
C0014,7
C0015,6
C0016,2
C0017,5
C0018,3
C0019,0
C0020,6
C0021,1
C0022,5
C0023,5
C0024,2
C0025,6
C0026,2
C0027,8
C0028,1
C0029,2
C0030,2
C0031,4
C0032,6
C0033,6
C0034,2
C0035,2
C0036,6
C0037,5
C0038,2
C0039,3
C0040,8
C0041,1
C0042,6
C0043,7
C0044,0
C0045,1
C0046,3
C0047,2
C0048,4
C0049,2
C0050,2
C0051,5
C0052,4
C0053,5
C0054,1
C0055,2
C0056,8
C0057,5
C0058,6
C0059,3
C0060,7
C0061,0
C0062,0
C0063,7
C0064,5
C0065,9
C0066,0
C0067,2
C0068,3
C0069,0
C0070,0
C0071,6
C0072,2
C0073,0
C0074,0
C0075,9
C0076,4
C0077,6
C0078,7
C0079,2
C0080,7
C0081,5
C0082,3
C0083,6
C0084,1
C0085,6
C0086,0
C0087,3
C0088,8
C0089,0
C0090,5
C0091,4
C0092,8
C0093,1
C0094,6
C0095,6
C0096,3
C0097,7
C0098,2
C0099,3
C0100,5
C0101,1
C0102,3
C0103,0
C0104,3
C0105,5
C0106,8
C0107,4
C0108,3
C0109,9
C0110,7
C0111,0
C0112,6
C0113,3
C0114,5
C0115,8
C0116,2
C0117,2
C0118,4
C0119,7
C0120,4
C0121,0
C0122,3
C0123,7
C0124,5
C0125,2
C0126,4
C0127,0
C0128,7
C0129,4
C0130,6
C0131,6
C0132,0
C0133,4
C0134,8
C0135,0
C0136,1
C0137,4
C0138,1
C0139,2
C0140,7
C0141,9
C0142,8
C0143,1
C0144,6
C0145,1
C0146,8
C0147,4
C0148,3
C0149,5
C0150,6
C0151,6
C0152,4
C0153,3
C0154,2
C0155,3
C0156,9
C0157,2
C0158,4
C0159,8
C0160,2
C0161,8
C0162,1
C0163,3
C0164,0
C0165,9
C0166,0
C0167,0
C0168,4
C0169,3
C0170,5
C0171,3
C0172,0
C0173,1
C0174,4
C0175,1
C0176,2
C0177,8
C0178,8
C0179,5
C0181,4
C0182,5
C0183,2
C0184,4
C0185,2
C0186,8
C0187,4
C0188,3
C0189,2
C0190,4
C0191,4
C0192,6
C0193,8
C0194,2
C0195,4
C0196,5
C0197,0
C0198,7
C0199,0
C0200,5
